GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age,distance_to_litpop_km,litpop_asset_value,litpop_value_50km
P100000120370,Guangxi Chiji Iron and Steel Co Ltd,Guangxi Chiji Iron and Steel Co Ltd,China,Asia Pacific,23.402121,111.134606,4800.0,7.0,3.171070044657368,105313275.99139243,20559732482.81378
P100000120398,Guangxi Deyuan Metallurgy Co Ltd (Nayangdaqiao),Guangxi Deyuan Metallurgy Co Ltd,China,Asia Pacific,22.712996,109.33725,,36.0,3.9067081043733367,277340105.397218,10499927299.55551
P100000121140,Guangxi Deyuan Metallurgy Co Ltd (Yujiangbian),Guangxi Deyuan Metallurgy Co Ltd,China,Asia Pacific,22.85831,108.90109,,,3.2541570545863587,266302664.99618664,20516594186.225746
P100000120395,Guangxi Guifeng Special Steel Co Ltd,Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,China,Asia Pacific,23.987136,111.914197,1725.0,24.0,5.1105737419419635,17341547.352170102,2910081061.2764688
P100000120095,Guangxi Guigang Iron and Steel Group Co Ltd,Guangxi Guigang Iron and Steel Group Co Ltd,China,Asia Pacific,23.088182,109.634638,1400.0,23.0,4.210970927284132,6503602261.824279,18365541991.176605
P100000120363,Guangxi Guigang Iron and Steel Group Guigang Guibao Special Steel Co Ltd,Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,China,Asia Pacific,23.089502,109.63938,1200.0,8.0,4.212282668794471,6503602261.824279,18019027177.925503
P100000120368,Guangxi Guixin Iron and Steel Group Co Ltd,Guangxi Guixin Steel Group Co Ltd,China,Asia Pacific,23.978962,111.735523,6050.0,33.0,3.590784264247009,90031801.82740928,4917065856.955622
P100000120394,Guangxi Guixin Iron and Steel Intelligent Manufacturing Co Ltd,Hezhou Zhaoxin Hardware Products Co Ltd,China,Asia Pacific,23.978567,111.735529,750.0,26.0,3.5633630360018103,90031801.82740928,4917065856.955622
P100000120397,Guangxi Hezhou Kexinda Metal Products Co Ltd,Guangxi Hezhou Kexinda Metal Products Co Ltd,China,Asia Pacific,23.979937,111.745037,1150.0,22.0,4.436036634842673,90031801.82740928,4928627017.033124
P100000120396,Guangxi Hezhou Pengda New Materials Co Ltd,Hezhou Xindu Sanyuan Casting Co Ltd,China,Asia Pacific,23.987007,111.739775,780.0,10.0,4.513422491628502,90031801.82740928,4920258620.047069
P100000120306,Guangxi Iron and Steel Group Co Ltd Fangchenggang Iron & Steel Base,Guangxi Iron and Steel Group Co Ltd,China,Asia Pacific,21.580723,108.400896,8400.0,6.0,7.713685887790827,226557645.65927386,11674689080.685747
P100000120374,Guangxi Liugang Zhongjin Stainless Steel Co Ltd,Guangxi Liugang Zhongjin Stainless Steel Co Ltd,China,Asia Pacific,21.67261,109.741866,0.0,13.0,5.270920423795694,221366537.43015066,9528213457.25059
P100000120393,Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,China,Asia Pacific,22.326361,106.94616,0.0,11.0,4.055998148078813,12209976.102895368,2235688596.4956255
P100000120094,Guangxi Shenglong Metallurgical Co Ltd,Guangxi Shenglong Metallurgical Co Ltd,China,Asia Pacific,21.687637,108.412344,9783.0,23.0,4.492454083044233,954514098.9683073,14121027870.936752
P100000120369,Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,China,Asia Pacific,23.518229,111.235509,1500.0,16.0,3.8036696989522762,607979569.3111423,20412395323.525173
P100000120367,Guilin Pinggang Iron and Steel Co Ltd,Guilin Pinggang Iron and Steel Co Ltd,China,Asia Pacific,24.673567,110.78959,1200.0,29.0,3.8715284680201383,33714093.6953855,3515808103.975182
P100000120098,Guizhou Ganglian Industrial Group Co Ltd,Guizhou Ganglian Industrial Group Co Ltd,China,Asia Pacific,27.615147,106.949926,1325.0,12.0,1.373483757316743,3047624310.877063,45219639605.75884
P100000120364,Guizhou Hexing Steel Co Ltd,Guizhou Hexing Metal Products Co Ltd,China,Asia Pacific,26.509525,107.570458,500.0,14.0,4.580226728336829,30310794.301979743,14026477096.41879
P100000120360,Guizhou Juxin Iron and Steel Group Co Ltd,Qianxinan Prefecture Juxin Industry & Trade General Co,China,Asia Pacific,25.150857,105.041722,,33.0,2.8751726129950477,259782939.28469855,14560783277.573309
P100000120097,Guizhou United Iron and Steel Group Co Ltd,Guizhou United Steel (Group) Co Ltd,China,Asia Pacific,27.591691,106.814024,1990.0,12.0,4.3094173290663855,288427354.33009654,47452877237.39896
P100001063796,Haicheng Hengsheng Casting Co Ltd,Haicheng Hengsheng Casting Co Ltd,China,Asia Pacific,41.057478,122.8328,760.0,26.0,3.8715332662188517,722648668.565372,206242523147.69278
P100000120102,Handan Iron and Steel Group Co Ltd,Handan Iron and Steel Group Co Ltd,China,Asia Pacific,36.601308,114.439889,,64.91,3.1064926839380744,34430628965.986046,218590949357.5953
P100000120326,Handan Steel Group Handan Bao Steel Co Ltd,Hanshan Iron and Steel Co Ltd,China,Asia Pacific,36.685881,113.837073,4488.0,4.0,4.203227950327188,296202759.7826058,41735156180.61442
P100000120334,Hangda Steel Co Ltd,Dazhou Hangda Steel Co Ltd,China,Asia Pacific,31.435149,107.685981,1000.0,22.31,3.337983837649912,49607605.43538932,20381649829.361385
P100000120315,Hbis Laoting Steel Co Ltd,HBIS Laoting Steel Co Ltd,China,Asia Pacific,39.257823,119.033567,7450.0,6.0,3.8272839663905502,658638310.9064554,14069637061.114597
P100000121045,Hebei Anfeng Iron and Steel Co Ltd,Hebei Anfeng Iron & Steel Co Ltd,China,Asia Pacific,39.65849,118.894804,7100.0,24.0,4.0918280884994465,301142693.52749974,63186987906.94399
P100000120135,Hebei Baoxin Iron and Steel Group Co Ltd,Hebei Baoxin Iron and Steel Group Co Ltd,China,Asia Pacific,36.555205,114.108273,,19.0,2.1210504405280433,1340340843.3454995,170332444606.03406
P100000121249,Hebei Bishi Inner Mongolia iron and steel plant,Inner Mongolia (Naiman) Jingan Non-ferrous Metal Materials Co Ltd,China,Asia Pacific,43.696186,122.219433,,,1.6188260187092378,755333747.2342982,32610294666.29648
