GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age
P100000120425,ArcelorMittal Eisenhüttenstadt steel plant,ArcelorMittal Eisenhüttenstadt GmbH,Germany,Europe,52.168649,14.623473,2400.0,76.0
P100000120715,ArcelorMittal Esch-Belval steel plant,ArcelorMittal SA,Luxembourg,Europe,49.504175,5.993759,1250.0,115.0
P100000120475,ArcelorMittal Florange steel plant,ArcelorMittal Atlantique et Lorraine SAS,France,Europe,49.331722,6.143107,,112.0
P100000120027,ArcelorMittal Gent steel plant,ArcelorMittal SA,Belgium,Europe,51.169929,3.804462,5200.0,60.0
P100000120427,ArcelorMittal Hamburg steel plant,ArcelorMittal Hamburg GmbH,Germany,Europe,53.522601,9.900749,1100.0,57.0
P100000120045,ArcelorMittal Juiz de Fora steel plant,ArcelorMittal Brasil SA,Brazil,Central & South America,-21.626963,-43.462361,1100.0,42.0
P100000120786,ArcelorMittal Kraków steel plant,ArcelorMittal Poland SA,Poland,Europe,50.083849,20.096306,,66.0
P100000120906,ArcelorMittal Kryvyi Rih steel plant,ArcelorMittal Kryvyi Rih PJSC,Ukraine,Europe,47.874411,33.392993,1083.0,92.0
P100000120725,ArcelorMittal Lázaro Cárdenas steel plant,ArcelorMittal México SA de CV,Mexico,North America,17.930688,-102.201498,6500.0,49.29
P100001081899,ArcelorMittal Mauritania green steel plant,ArcelorMittal SA; Société Nationale Industrielle et Minière SA,Mauritania,Africa,19.513799,-10.553879,,
P100000120473,ArcelorMittal Méditerranée Fos sur Mer steel plant,ArcelorMittal Méditerranée SAS,France,Europe,43.43283,4.887166,2550.0,52.0
P100000120035,ArcelorMittal Monlevade steel plant,ArcelorMittal Brasil SA,Brazil,Central & South America,-19.832129,-43.130164,1200.0,89.0
P100000120057,ArcelorMittal Montreal steel plant,ArcelorMittal Long Products Canada GP,Canada,North America,45.835148,-73.254957,2400.0,112.0
P100000121027,ArcelorMittal Newcastle Steel Works,ArcelorMittal South Africa Ltd,South Africa,Africa,-27.705376,30.014063,,54.84
P100001025671,ArcelorMittal Nippon Steel Anakapalle steel plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,17.407103,82.723183,,
P100001025669,ArcelorMittal Nippon Steel Gadchiroli steel plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,20.168486,79.987119,,
P100000120513,ArcelorMittal Nippon Steel Hazira plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,21.112377,72.647304,9600.0,31.0
P100000120573,ArcelorMittal Nippon Steel Kendrapara plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,20.71042,86.282806,,
P100000121178,ArcelorMittal Nippon Steel Paradip plant,ArcelorMittal Nippon Steel India Ltd,India,Asia Pacific,20.284771,86.658266,,
P100000120458,ArcelorMittal Olaberria-Bergara (Olaberria) steel plant,Arcelormittal Olaberria-Bergara SL,Spain,Europe,43.03829,-2.219625,1450.0,34.0
P100000120040,ArcelorMittal Pecém steel plant,ArcelorMittal Brasil SA,Brazil,Central & South America,-3.585917,-38.858932,3046.0,10.0
P100000120041,ArcelorMittal Piracicaba steel plant,ArcelorMittal Brasil SA,Brazil,Central & South America,-22.698154,-47.657146,1100.0,71.0
P100000120036,ArcelorMittal Resende steel plant,ArcelorMittal Brasil SA,Brazil,Central & South America,-22.493597,-44.512628,1000.0,17.0
P100000121030,ArcelorMittal Saldanha Steel Works,ArcelorMittal South Africa Ltd,South Africa,Africa,-32.97952,18.023228,,28.0
P100000120453,ArcelorMittal Sestao steel plant,Arcelormittal Sestao SL,Spain,Europe,43.313144,-2.998964,2000.0,124.0
P100000120719,ArcelorMittal Sonasid Jorf Lasfar steel plant,ArcelorMittal SA,Morocco,Africa,33.136529,-8.603555,800.0,21.0
P100000120970,ArcelorMittal Texas DRI plant,ArcelorMittal SA,United States,North America,27.888929,-97.282062,0.0,8.39
P100000120034,ArcelorMittal Tubarão steel plant,ArcelorMittal Tubarão Comercial SA,Brazil,Central & South America,-20.253447,-40.242298,7500.0,43.0
P100000121028,ArcelorMittal Vanderbijlpark Steel Works,ArcelorMittal South Africa Ltd,South Africa,Africa,-26.657367,27.82231,3360.0,72.38
P100000120790,ArcelorMittal Warszawa steel plant,Arcelormittal Warszawa SP zoo,Poland,Europe,52.291337,20.917302,750.0,69.0
P100000120607,Ardakan Steel Yazd plant,Ardakan Steel Complex Co,Iran,Middle East,32.373942,53.759655,0.0,14.0
P100000120597,Arfa Iron and Steel Yazd plant,Arfa Iron and Steel Co,Iran,Middle East,32.39309,53.7566,1000.0,14.89
P100001063425,Arian Steel Fath Abad plant,Arian Steel Co,Iran,Middle East,35.744901,50.222553,240.0,25.0
P100000120568,Arjas Steel Tadipatri plant,Arjas Steel Pvt Ltd,India,Asia Pacific,14.873471,78.048425,1005.0,13.3
P100000120841,Arkan Steel Jeddah plant,Dar Al Arkan Real Estate Development Company SJSC,Saudi Arabia,Middle East,21.524005,39.240633,,
P100000120590,Arvand Jahanara Steel Khouzestan plant,Arvand Jahanara Steel Co,Iran,Middle East,30.510886,48.241356,1200.0,4.0
P100000120604,Arvand Kaveh Steel Khoramshahr plant,Arvand Kaveh Steel Co,Iran,Middle East,30.505458,48.272024,,
P100001045594,ASEAN Steel Hoa Phu steel plant,Asean Steel JSC,Vietnam,Asia Pacific,12.59912,107.93922,500.0,
P100000120825,Ashinskiy Metallurgical plant,Ashinskiy Metzavod PJSC,Russia,Eurasia,54.99484,57.277548,1000.0,126.0
P100001080915,Asia United Steel plant,Asia United Steel,Kazakhstan,Eurasia,43.600662,76.317112,,
P100000120891,Asil Celik Orhangazi steel plant,Asil Celik Sanayi ve Ticaret AŞ,Türkiye,Europe,40.42752,29.270141,730.0,47.0
P100000120564,Atibir Industries Bhorandiha steel plant,Atibir Industries Co Ltd,India,Asia Pacific,24.145239,86.334999,0.0,17.0
P100000120046,AVB Açailândia steel plant,Aco Verde do Brasil SA,Brazil,Central & South America,-4.874373,-47.4073517,600.0,11.0
P100000120067,AZA Colina steel plant,Aceros AZA SA,Chile,Central & South America,-33.294729,-70.727881,520.0,26.68
P100000121043,Azerbaijan Integrated Steel Mill Complex,Azerbaijan Integrated Steel Mill Complex,Azerbaijan,Eurasia,40.721908,46.363526,,
