Owner,total_capacity_ttpa,n_plants,n_countries,n_regions,avg_litpop_value_50km,centroid_lat,centroid_lon
Fujian Hongfeng Industrial Group Co Ltd,1000.0,1,1,1,2685683751.0136914,26.868423,117.776369
Fujian Longgang New Materials Co Ltd,1210.0,1,1,1,15934914909.597748,25.357408,117.362096
Fujian Luoyuan Minguang Iron & Steel Co Ltd,2650.0,1,1,1,26038092651.272423,26.483815,119.67105
Fujian Qingtuo New Material Co Ltd,958.0,1,1,1,13257477701.665466,26.779301,119.767935
Fujian San'an Iron & Steel Co Ltd,2300.0,1,1,1,41726696314.58181,25.244396,118.029905
Fujian Sanbao Steel Co Ltd,6196.0,1,1,1,115508727979.29546,24.635769,117.603677
Fujian Tsingtuo Nickel Industry Co Ltd,3000.0,1,1,1,13144509107.059135,26.768925,119.765203
Fujian Wuhang Stainless Steel Products Co Ltd,2000.0,1,1,1,170857709880.66248,25.95923,119.452018
Fujian Yixin Steel & Iron Co Ltd,0.0,1,1,1,26055965029.36233,26.491308,119.63624
Fulun Iron & Steel Co Ltd,2700.0,1,1,1,114060688971.64105,36.308447,117.540425
Fushun HANWANG Direct Reduced Iron Co Ltd,0.0,1,1,1,692568383513.6499,41.670998,123.85143
Fushun New Steel Corp Ltd,2700.0,1,1,1,691419316982.7649,41.841223,123.753895
Fushun Special Steel Co Ltd,999.0,1,1,1,689322982665.9587,41.838774,123.806586
Fuzhou Wuhang Steel Products Co Ltd,2000.0,1,1,1,167653653064.64444,25.995101,119.495725
G J Steel PCL,1500.0,1,1,1,,13.054668,101.078842
G Steel PCL,1800.0,1,1,1,,12.793786,101.244592
GFG Alliance Ltd,0.0,1,1,1,,-33.009381,137.587836
GLGH Steel LLC,500.0,1,1,1,,45.293492,21.90241
GPH Ispat Ltd,1051.0,1,1,1,,22.536569,91.700729
GV do Brasil Industria e Comercio de Aço Ltda,1100.0,2,1,1,,-21.632410999999998,-42.887049000000005
Gallantt Ispat Ltd,528.0,1,1,1,55576355785.79361,26.757009,83.199086
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,7650.0,1,1,1,18345157651.98639,39.812121,98.295555
Gaolan County Lanxin Steel Co Ltd,1100.0,1,1,1,100210147450.03174,36.488866,103.922
Georgsmarienhuette GmbH,650.0,1,1,1,,52.2122334,8.0420724
Gerdau Acominas SA,3600.0,1,1,1,,-20.543507,-43.75295
Gerdau Acos Longos SA,2486.0,4,1,1,,-23.014758,-46.28457325
Gerdau Ameristeel Corp,6293.0,8,2,1,,38.195105875,-87.21793325
Gerdau Corsa SAPI de CV,1500.0,2,1,1,,19.6918405,-98.88839899999999
Gerdau SA,530.0,1,1,1,,-22.89918,-45.347726
Ghaenat Steel Complex,800.0,1,1,1,,33.926909,59.007852
Global Steel Wire SA,750.0,1,1,1,,43.445344,-3.839228
Godawari Power and Ispat Ltd,659.0,2,1,1,45604024818.60625,21.470623,81.7106675
Godo Steel Ltd,1700.0,3,1,1,4978301795546.785,35.057881,136.68735066666667
Gohar Zamin Mining and Industrial Company,0.0,1,1,1,,29.953217,56.699701
Golgohar Iron and Steel Development Co,3300.0,1,1,1,,29.134614,55.360773
Gostar Almas Steel Co,0.0,1,1,1,,36.215731,46.499322
Government of North Korea,10252.0,4,1,1,,40.300073,127.68613049999999
Government of Tunisia,200.0,1,1,1,,37.13763,9.81281
GravitHy,0.0,2,2,1,,52.855224,13.115966
Green Iron Magnetite Project,0.0,1,1,1,,-34.595209,135.84922
Green Steel of WA Pty Ltd,0.0,2,1,1,,-31.054427999999998,115.5199465
Greensteel Australia Pty Ltd,0.0,1,1,1,,-34.4637185,150.8865407
Groupe Industriel Sider SpA,0.0,1,1,1,,36.795924,7.707633
Grupo Acerero SA de CV,1375.0,1,1,1,,22.087328,-100.901902
GuangDong Xinxing Ductile Iron Pipes Co Ltd,0.0,1,1,1,18287514935.09894,22.09914,111.665479
"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",500.0,1,1,1,83715068782.64464,31.0494162,119.5296269
Guangdong Daxing Iron & Steel Industrial Co Ltd,720.0,1,1,1,577955812174.6229,23.529158,116.329247
Guangdong Fogang Jincheng Metal Products Co Ltd,500.0,1,1,1,104746357578.09418,23.741965,113.502168
